longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,longitude^2,longitude latitude,longitude housing_median_age,longitude total_rooms,longitude total_bedrooms,longitude population,longitude households,longitude median_income,latitude^2,latitude housing_median_age,latitude total_rooms,latitude total_bedrooms,latitude population,latitude households,latitude median_income,housing_median_age^2,housing_median_age total_rooms,housing_median_age total_bedrooms,housing_median_age population,housing_median_age households,housing_median_age median_income,total_rooms^2,total_rooms total_bedrooms,total_rooms population,total_rooms households,total_rooms median_income,total_bedrooms^2,total_bedrooms population,total_bedrooms households,total_bedrooms median_income,population^2,population households,population median_income,households^2,households median_income,median_income^2,median_house_value
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,14940.172900000001,-4630.0724,-5011.43,-107562.40000000001,-15767.67,-39358.06,-15400.980000000001,-1017.5891960000001,1434.8944000000001,1553.0800000000002,33334.4,4886.52,12197.36,4772.88,315.358576,1681.0,36080.0,5289.0,13202.0,5166.0,341.33320000000003,774400.0,113520.0,283360.0,110880.0,7326.176,16641.0,41538.0,16254.0,1073.9508,103684.0,40572.0,2680.7144000000003,15876.0,1048.9752,69.30895504000001,452600.0
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,14937.7284,-4627.2492,-2566.62,-867639.78,-135175.32,-293450.22,-139086.36,-1014.5971079999999,1433.3796,795.06,268768.14,41873.159999999996,90901.86,43084.68,314.291004,441.0,149079.0,23226.0,50421.0,23898.0,174.3294,50395801.0,7851494.0,17044699.0,8078662.0,58931.63859999999,1223236.0,2655506.0,1258628.0,9181.348399999999,5764801.0,2732338.0,19931.661399999997,1295044.0,9446.993199999999,68.91324196,358500.0
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,14942.6176,-4626.784,-6356.48,-179326.08,-23225.6,-60631.04,-21636.48,-887.1445759999999,1432.6225000000002,1968.2,55525.950000000004,7191.5,18773.600000000002,6699.45,274.69259,2704.0,76284.0,9880.0,25792.0,9204.0,377.3848,2152089.0,278730.0,727632.0,259659.0,10646.6058,36100.0,94240.0,33630.0,1378.906,246016.0,87792.0,3599.6704,31329.0,1284.5598,52.66985475999999,352100.0
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,14945.0625,-4627.1625,-6357.0,-155746.5,-28728.75,-68215.5,-26772.75,-689.868975,1432.6225000000002,1968.2,48220.9,8894.75,21120.3,8289.15,213.591335,2704.0,66248.0,12220.0,29016.0,11388.0,293.4412,1623076.0,299390.0,710892.0,279006.0,7189.309399999999,55225.0,131130.0,51465.0,1326.1284999999998,311364.0,122202.0,3148.8498,47961.0,1235.8389,31.844577609999995,341300.0
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,14945.0625,-4627.1625,-6357.0,-198900.75,-34230.0,-69071.25,-31662.75,-470.19795,1432.6225000000002,1968.2,61581.950000000004,10598.0,21385.25,9803.15,145.57867000000002,2704.0,84604.0,14560.0,29380.0,13468.0,200.0024,2647129.0,455560.0,919255.0,421393.0,6257.7674,78400.0,158200.0,72520.0,1076.936,319225.0,146335.0,2173.103,67081.0,996.1658,14.79325444,342200.0
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,14945.0625,-4627.1625,-6357.0,-112347.75,-26039.25,-50489.25,-23594.25,-493.4988000000001,1432.6225000000002,1968.2,34784.15,8062.05,15632.050000000001,7305.05,152.79288000000003,2704.0,47788.0,11076.0,21476.0,10036.0,209.91360000000003,844561.0,195747.0,379547.0,177367.0,3709.8192000000004,45369.0,87969.0,41109.0,859.8384000000001,170569.0,79709.0,1667.1984000000002,37249.0,779.1024000000001,16.295754240000004,269700.0
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,14945.0625,-4625.9400000000005,-6357.0,-309903.75,-59780.25,-133741.5,-62836.5,-447.324975,1431.8656000000003,1967.6800000000003,95924.40000000001,18503.760000000002,41396.96000000001,19449.760000000002,138.46034400000002,2704.0,131820.0,25428.0,56888.0,26728.0,190.2732,6426225.0,1239615.0,2773290.0,1302990.0,9275.8185,239121.0,534966.0,251346.0,1789.2999,1196836.0,562316.0,4003.0554,264196.0,1880.7774,13.38901281,299200.0
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,14945.0625,-4625.9400000000005,-6357.0,-379464.0,-83985.75,-141443.25,-79095.75,-381.42,1431.8656000000003,1967.6800000000003,117455.36000000002,25996.08,43780.880000000005,24482.480000000003,118.06080000000001,2704.0,161408.0,35724.0,60164.0,33644.0,162.24,9634816.0,2132448.0,3591328.0,2008288.0,9684.48,471969.0,794859.0,444489.0,2143.44,1338649.0,748579.0,3609.84,418609.0,2018.64,9.7344,241400.0
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,14947.5076,-4626.318400000001,-5134.92,-312374.3,-81302.90000000001,-147445.56,-72744.7,-254.349704,1431.8656000000003,1589.2800000000002,96681.20000000001,25163.600000000002,45635.04,22514.800000000003,78.72233600000001,1764.0,107310.0,27930.0,50652.0,24990.0,87.3768,6528025.0,1699075.0,3081330.0,1520225.0,5315.4220000000005,442225.0,801990.0,395675.0,1383.4660000000001,1454436.0,717570.0,2508.9624,354025.0,1237.838,4.32806416,226700.0
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,14945.0625,-4625.9400000000005,-6357.0,-433865.25,-86430.75,-189609.75,-87286.5,-451.2492,1431.8656000000003,1967.6800000000003,134294.16,26752.88,58689.840000000004,27017.760000000002,139.67500800000002,2704.0,184548.0,36764.0,80652.0,37128.0,191.9424,12595401.0,2509143.0,5504499.0,2533986.0,13100.0688,499849.0,1096557.0,504798.0,2609.6784,2405601.0,1107414.0,5725.0512,509796.0,2635.5168,13.62495744,261100.0
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,14947.5076,-4627.541,-6357.52,-269216.52,-53060.840000000004,-111256.6,-49148.520000000004,-391.61100600000003,1432.6225000000002,1968.2,83345.7,16426.9,34443.5,15215.7,121.237335,2704.0,114504.0,22568.0,47320.0,20904.0,166.5612,4848804.0,955668.0,2003820.0,885204.0,7053.2262,188356.0,394940.0,174468.0,1390.1454,828100.0,365820.0,2914.821,161604.0,1287.6462000000001,10.25984961,281500.0
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,14947.5076,-4627.541,-6357.52,-428276.78,-91939.52,-183879.04,-89738.84,-399.85133,1432.6225000000002,1968.2,132588.55000000002,28463.2,56926.4,27781.9,123.78842500000002,2704.0,182156.0,39104.0,78208.0,38168.0,170.066,12271009.0,2634256.0,5268512.0,2571202.0,11456.5615,565504.0,1131008.0,551968.0,2459.416,2262016.0,1103936.0,4918.832,538756.0,2400.547,10.696170250000002,241800.0
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,14947.5076,-4627.541,-6357.52,-304549.66000000003,-57951.240000000005,-134241.48,-57217.68,-375.94950000000006,1432.6225000000002,1968.2,94284.35,17940.9,41559.3,17713.8,116.38875000000002,2704.0,129532.0,24648.0,57096.0,24336.0,159.9,6205081.0,1180734.0,2735118.0,1165788.0,7659.825000000001,224676.0,520452.0,221832.0,1457.5500000000002,1205604.0,513864.0,3376.3500000000004,219024.0,1439.1000000000001,9.455625000000001,213500.0
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,14947.5076,-4626.318400000001,-6357.52,-85092.96,-23351.66,-42179.700000000004,-21273.24,-326.874336,1431.8656000000003,1967.6800000000003,26336.640000000003,7227.4400000000005,13054.800000000001,6584.160000000001,101.16902400000001,2704.0,36192.0,9932.0,17940.0,9048.0,139.0272,484416.0,132936.0,240120.0,121104.0,1860.8256,36481.0,65895.0,33234.0,510.6576,119025.0,60030.0,922.3919999999999,30276.0,465.2064,7.1481369599999995,191300.0
