longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_house_value,ocean_proximity,median_income_a,median_income_b,median_income_c
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,452600.0,NEAR BAY,8.3252,8.407904893332983,8.010557759740305
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,358500.0,NEAR BAY,8.3014,8.27844425460515,8.337860028028139
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,352100.0,NEAR BAY,7.2574,7.351410695928238,7.260481937031228
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,341300.0,NEAR BAY,5.6431,5.814992195653922,5.578636609604865
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,342200.0,NEAR BAY,3.8462,3.8281879858027823,3.7475298450023202
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,269700.0,NEAR BAY,4.0368,4.017896718643751,4.060192773756931
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,299200.0,NEAR BAY,3.6591,3.774669952264462,3.5866370103273373
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,241400.0,NEAR BAY,3.12,3.1678879270991414,3.1113298725060035
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,226700.0,NEAR BAY,2.0804,2.0608661097500183,2.153836948906493
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,261100.0,NEAR BAY,3.6912,3.7312539526576898,3.7392734335491333
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,281500.0,NEAR BAY,3.2031,3.173412535763048,3.115390623382504
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,241800.0,NEAR BAY,3.2705,3.24003661681897,3.1871119587400853
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,213500.0,NEAR BAY,3.075,3.089880679701311,3.084336874203741
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,191300.0,NEAR BAY,2.6736,2.571293078757658,2.60005885248894
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,159200.0,NEAR BAY,1.9167,1.8505769998084454,1.839965855402365
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,140000.0,NEAR BAY,2.125,2.101102780007259,2.1476258104801107
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,152500.0,NEAR BAY,2.775,2.7187878728214394,2.792811934364808
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,155500.0,NEAR BAY,2.1202,2.13352534389137,2.1393071716395604
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,158700.0,NEAR BAY,1.9911,1.9549406652645944,2.0015745870103525
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,162900.0,NEAR BAY,2.6033,2.5297669954862765,2.599899532486065
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,147500.0,NEAR BAY,1.3578,1.3976011579688337,1.3398176077992925
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,159800.0,NEAR BAY,1.7135,1.7057626461823265,1.7311879452878338
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,113900.0,NEAR BAY,1.725,1.7273297230617335,1.7777809803499778
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,99700.0,NEAR BAY,2.1806,2.1184638821028585,2.158740400527376
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,132600.0,NEAR BAY,2.6,2.5716920983246907,2.5469215090691684
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,107500.0,NEAR BAY,2.4038,2.409132714422891,2.349227998792385
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,93800.0,NEAR BAY,2.4597,2.4030780219522874,2.4170620729013814
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,105500.0,NEAR BAY,1.808,1.8215852403433794,1.8153259626450549
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,108900.0,NEAR BAY,1.6424,1.6226702203135472,1.5721175137923928
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,132000.0,NEAR BAY,1.6875,1.677655335944477,1.7023220018245908
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,122300.0,NEAR BAY,1.9274,1.9042054135117812,1.9522215587208964
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,115200.0,NEAR BAY,1.9615,2.0341648731782858,1.890961385939441
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,110400.0,NEAR BAY,1.7969,1.796414936737368,1.7617102134810556
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,104900.0,NEAR BAY,1.375,1.3459129494537128,1.3771912269457487
-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,109700.0,NEAR BAY,2.7303,2.775215887470307,2.7224656919069985
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,97200.0,NEAR BAY,1.4861,1.4498140850355612,1.5015446648318789
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,104500.0,NEAR BAY,1.0972,1.1017833027287844,1.094102893588645
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,103900.0,NEAR BAY,1.4103,1.3550255444858472,1.4459740892722148
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,191400.0,NEAR BAY,3.48,3.387558250996669,3.45764660982656
-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,176000.0,NEAR BAY,2.5898,2.5999966245730772,2.5388828234198635
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,155400.0,NEAR BAY,2.0978,2.1287831038302873,2.053182233059122
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,150000.0,NEAR BAY,1.2852,1.2896048502997068,1.3041044825625765
-122.26,37.84,49.0,713.0,202.0,462.0,189.0,118800.0,NEAR BAY,1.025,1.022629210211041,1.0256072334101167
